"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"ADRM1"	0	0	0	3.84290656969354	0.512015350925269	0	0	0	0	0	0	0.120936739616433	0	0	0	0.562435424980772	0	0	0	0	0	0	0	0.811980358676121	0	0.264530961658778	0	0.259176415872045	3.17145805210493	0	0	0	0	0	0	0	0	0	0	0.458674832698317	0	0	0	0	0.377250940212551	0	0	0	0.991924060861215	0	0	0	0	0	0	0.302775404398392	0	0	0.382271881556752	0.112021650344015	0	1.07891043607762	0	0	0	0	0	0	0	0	2.38282285635382	1.15674547660305	0	0	0	0.129624636882744	0	0
"AP2B1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARL2"	0	0	0	0	1.01758481555231	0	0	0.3437032760216	0	0	0	0	0	0	0	1.10198240435719	0	0	0	0	0	1.2365941938833	1.43806157810031	0	1.39632233239736	0.312634612986211	0	0.306405652055871	0	0	0	0	0	0	0	0.354271238855684	0.730858956071281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94914543254147	0	0	0	0	0	0	0	0	0	1.69121908407123	0.404001609646522	0.904228387574939	0	0	0	1.6015177028144	0	0	0	0	0	0	0	0	0	0
"BCL2L2"	0.475620111098938	0	0	0	5.73257436096678	4.69416952511948	0	0.233425508857713	0	0	1.28032252867535	0.185584166982639	0.629213995848448	0	0.202153100946577	0.458638478451444	0	0	0	0	0	0	0	1.12848066695585	0.438521655967113	0.961871301612389	1.03413399407204	0	0	0	0	0	1.07915426900835	0	0.432205444743251	0.240880899524452	0.516657919203616	0.267203320050241	0	0	0	0.607807993514529	0	0.544907990859221	0.555032557541336	0	0.703747814762344	0	0.828802458122966	0	0	2.05090283933697	0	0	0.491219468187014	0	0	0	0	0.325985384416418	0	1.4575802794646	0.507887689301374	0	0	0.84874246036505	1.28032252867535	0	0	0.896290851649099	0	0.351355758304396	0	0	0	0	0	0
"BIK"	0.55685575042016	0	0.533500747730872	5.68819162755662	0	2.05659225776223	0	0	0	0	0	0.581854972914564	0	2.09747383225814	0.240542519000095	0.537477149187048	0	0.936396511332196	0	0.86738600945258	1.96972935394837	2.07194542014431	0	0	0.51447880670051	0.465826728480886	0	0	4.96976025341196	0	0	0.354819699593215	0	0	0.507248343975724	0.285925930023986	0	0.316654186177695	0	0.772975694131729	0	0	0	0	0	0	0.814268247860329	0	0	1.36737810330513	0	0	0	0.587130353975101	0	0.528290519531216	2.05659225776223	0	1.10373265632039	0	0	2.28162495993702	0	0	0	0.312119804173523	0	1.04836002514925	0	1.02779978204582	0	0	0	0	0	0.236375774009111	0	0
"BNIP3"	0	0	0	0	0	1.30939411758907	6.33685847381199	0	0	0	0	0.389431999187623	1.15970745072984	0.468404197447554	0.593876179638706	0.883452955284992	0	1.43825396643437	0	0	1.24162864110477	1.58444722105685	0	0	0.486369503478289	0.236702498986596	1.12611350935438	0	0	0	0	0	1.52804418793099	0	0	0	0	0.298248185081533	0	0	0	0	0	1.02569585993822	0	0	0	0	2.42770497035924	0.578012627967539	0	0	3.47734369596109	0	0	0.499549895486492	0	0	0	0.515213326737817	0	0.728621720269282	0.56194177384295	0	0	0	0	1.8068028296597	0	0	0	0	0	0	0	0	0.895415143935932	0
"BNIP3L"	0	0	0.243137691613186	0	0.732922118083518	7.07179827355219	0	0	0.338910185266766	0	0	0.860141577569321	1.8896967986659	0.418317972301816	0	0.454603247640902	0	0.807138258059039	5.98249596979332	0	0	0	0	1.12042941809203	0	0.700802720677779	0	0	0	0	2.59586852638677	0.54355547642578	0	0	0.428369854030463	0	0	0	0	0	0	0	0	0	0.550299297491064	0	1.16643507845799	0	2.02609072962278	0.518172727099992	0	0	0	0.49784962016559	0	0.446623159506649	0	0	0	0.322989658030278	0	1.10592868524832	0.503490041677901	0.35791848565424	0	0.260843384230615	0	1.21081277488039	0	0.889427540137011	2.09598104299604	0	0	0	0	0.196702161462869	1.86393200298462	0
"BRMS1"	0.463351917723809	0	0	0	0	1.18292227011979	0	0	0	0	0	0	0	0.411000323313864	0.523699071091602	0.446743790633811	0	0	0	0	1.74212846464674	0.89439964539657	0.444468659898248	1.72291748913169	0.756177726384742	0.545601144752075	0	0	5.23213968414568	0	0	0	1.05606010216012	0	0	0	0	0.259830192104053	3.69558711682216	0.361702097164134	0	1.01170279833694	0	0.28988774240778	0.541073687989133	0.592774904565405	0	0	1.32516422336934	0	3.37589212389592	0	4.20336607417038	0.854113202356168	0.837382015959203	0	0	0	0	0.317161056724518	1.21759987667697	1.70417306888258	0	0.35153301534954	0	0.256038972559338	0	0.89439964539657	0	0.876020969289907	0	0	0	0	0	0	0	0
"BTG1"	1.14772206598992	0	0.899954760926824	0	0	0	2.02080046161006	1.06584449218521	0.502249744176588	0	0	0.513320135229297	1.82897247925121	0	0	0.662199226646229	0	6.69453107517884	0	0	1.52702069953442	1.24992681300395	0.659053578200298	0	0.634941540777479	1.44420877007441	0.860359275026843	0	0	0	0	0	0	0	0	0.64676916021661	1.22683655751505	0.212068300867834	0	0.937019380482107	0	1.15266080892761	0	0	0.791013757165661	0	0	0	1.77242105204861	1.23826752506656	0	0	0	0	0	0	0	0	0	0	0	0.930624117996011	0.728374001585135	0.915023968443902	0	0.391385409511513	0	0.756294705461145	0	1.22683655751505	0	1.19384513360526	0	0	0	0.756294705461145	1.12840414386902	0
"CCL14"	0	0	0	0	0	0	0	0	0	0	0	0.253371379979533	1.33870230622313	0	0.705831703288451	1.0333695947094	2.37495513774011	1.64100146381377	0	0	3.24106477004406	1.7978154269269	0	0	0	0.733612485301306	1.30189132388607	0	0	0	0	0.404114253939684	0	0	0	0.326694067504393	1.14047510084692	0	0	0	0	0	0	0.715307481084736	0	1.30189132388607	0	0	1.06044143840322	0	0	0	0	0	0	0.822996830605305	0	0	0	0	2.26995857931856	1.60190705588773	0	0	0	0	0	1.1625108519568	0	0	0	0	0	0	0	0	0.616278615664507	0
