"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"ADRM1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658499005282202	0	0	0	0	0	0	0	0	0.280597503144892	0.839455758772437	0	0	0	0	0	0
"AP2B1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71621889491755	0	0	0	0	0	0	0	0	0.996587452425337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARL2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187342439732798	0	0	0	0	0	0	0.691946709447947	0	0.698751201235916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44616508752871	0	0	0	0	0	0	0	0	0	1.29559789440053	0	0	0	0	0	0.870337267342533	0	0	0	0	0	0	0	0	0	0
"BCL2L2"	0	0	0	0	5.21557086476527	3.36000589823408	0	0	0	0	0.554759841736509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.530951016092525	0.104441102981268	0	0	0	0	0	0.15101899262142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655652388404943	0	0	0	0	0	0	0	0	0	1.24068730491743	0	0	0	0.157979919321648	0	0	0	0	0	0	0	0	0	0	0	0
"BIK"	0	0	0	0.912688977178803	0	0.674609525003524	0	0	0	0	0	0	0	2.00226971704936	0	0	0	0	0	0	0.659528266170446	1.03212506467346	0	0	0	0	0	0	0.904514709385086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67868630033206	0	0	0	0	0	0	0.143926918291926	0	0.203864838611205	0	0	2.31714305017863	0	0	0	0	0	0.142199198924456	0	0	0	0	0	0	0	0	0	0
"BNIP3"	0	0	0	0	0	0	4.32012302992929	0	0	0	0	0	0.219967609770746	0	0	0	0	0.392513048130091	0	0	0	0.454316468504136	0	0	0	0	0.202688659822908	0	0	0	0	0	0.765343380756983	0	0	0	0	0	0	0	0	0	0	0.455336666990306	0	0	0	0	1.5118809898473	0	0	0	0.203174103857442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29524672390412	0	0	0	0	0	0	0	0	0	0
"BNIP3L"	0	0	0	0	0	5.54410452265191	0	0	0	0	0	0.297566272966982	1.21336058612043	0	0	0	0	0	0.163648578943213	0	0	0	0	0	0	0	0	0	0	0	0.907560390573819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187751679027141	0	1.0644595009112	0	0	0	0	0	0	0	0	0	0	0	0	0.554319563784695	0	0	0	0	0	0.465668057186874	0	0	0.0577367341275451	0	0	0	0	0	1.49026308365699	0
"BRMS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471507077475959	0	0	0.466074841404974	0	0	0	0	1.11780739081254	0	0	0	0.121924319034352	0	0	0	0	0	2.42973041739932	0	0	0.455302805768669	0	0	0	0	0	0	0.305890114551721	0	0.674629322372911	0	0.703853165181147	0	0	0	0	0	0	0	0	1.64881031552378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BTG1"	0.232585575701021	0	0.0458159760791132	0	0	0	0.218152143943718	0.427628817644152	0	0	0	0	0.958425829540739	0	0	0	0	5.75994467584272	0	0	0.0910635847317454	0	0	0	0	1.08472971312552	0	0	0	0	0	0	0	0	0	0	0.317762635973705	0	0	0	0	0.431281570835368	0	0	0	0	0	0	0.644366265795797	0.316994654825846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483480559190238	0	0	0	0	0.207381783388532	0
"CCL14"	0	0	0	0	0	0	0	0	0	0	0	0	0.390767539964001	0	0	0.115255349915394	0.236250627738125	0.564038641126482	0	0	1.84837988109609	0.625872490368642	0	0	0	0	0.388005636481759	0	0	0	0	0	0	0	0	0	0.239441364506451	0	0	0	0	0	0	0	0	0.385914466373189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.747739725058886	1.22278934830654	0	0	0	0	0	0.258133304503635	0	0	0	0	0	0	0	0	0	0
"CCND2"	0	0	0	0	0	0	0	0	0	0	0	0	5.59293753084668	3.65920347211165	3.89951333742406	0	0	0.0791304580818757	0	0	0	0.919864372682821	0	0	0	0.779153956420687	0	0	0	0	1.14787983789019	0	0	0	0	0	0	0	0	0	0	0.11550841831325	0	0	0	0	0	0.367517236473905	0.877617155283414	0	0	0	0	0	0	0	1.19264149570675	0	0	0	0.307448822369597	0	0	0	0	0	0.325678475307894	1.08229993128649	0	0.93612878820743	0	0.165224993098134	0	0	0	0	0	0
"CCND3"	0.00321171848614097	0.00570884851462375	0	0	0	0	0	0.765650093580651	0	0	0	0	6.41449411732844	5.69975067809054	4.21815586646429	0.968530609701573	0	0	0	0	0	2.60383908953597	0.69024752340892	0	0.340185011192634	1.70152211394273	0	0.940175998050829	0	0	0	0	0	0	0.670010221085692	0	0	0	0.188677106124623	0	0	0.395636210418427	0	0	0.557120858823429	0.620171724236424	0.981749532067531	0.643560210938305	2.59011943530957	0	0	0	0.785472334711183	0.0622141942095501	0	0	0	0	0	0	1.74160180250163	2.7958346413196	0	0.110537396464506	0	0	0.928333002487498	2.17353572535252	0	0	0	0.452044265976459	0	0	0	0	0	0
"CDK4"	0	0	0	0	0.00489317006288776	0	0	0	0	0	2.66621444997653	4.76260162051182	0	0	0	0.368804613805133	0	0	0	0	1.98047420608322	0	0	0.22409387816167	0	0.75388437659398	0	0	0	0	0	0	0	0	0	0	0	0	0.22835640003323	0	0	0	0	0	0	0	0	0	0.073240179556795	0	0.435054323068564	0	0	0	0.917458727413879	0	0	0	0	0	0	1.39212327429961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
