"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"ADRM1"	0	0	0	0	0	0	0	0.103888202527961	0	0	0	0.0725225339121075	0	0	0	0	0.688322590541446	0	0	0	0.559887057642686	0.527213596245026	0	0.856366029097269	0.512280924875472	0.121245846187504	0	0	0	0	0	0.106249286990242	0	0	0.141175436149141	0	0	0	0	0	0	0.0755187603020751	0	0	0	0	0	0	0	0	0	0	0	0.65630240886309	0.132605216457847	0	0	0	0	0.109074196349331	1.93860878346731	0	0.163190191590935	0	2.57981130507295	0	0	1.3809299163602	0	0.30321923814344	0	1.1030007383174	0	0	0	0	0	0
"AP2B1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARL2"	0	0	0	0	0	0	0	0	0	0	0	0.0909539235908644	0.275578274913067	0	0	0	0	0	0	0	1.13554202201478	1.07975335280285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337929008686949	0	0	0	0.119250872092237	0.288457895845326	0	0	0	0.862686567998626	0	0	0	3.2294458368251	0	0	0	0	0	0	0	0	0	0.539537725474589	0.189721612201228	0	0.266861796994291	0	0.926040592139529	0	0	0	0	0	0	0	0	0	0
"BCL2L2"	0.951678405719317	0	0.487694732976685	0	6.06880448765602	6.02510191408429	2.27431605188697	0.318072805937421	0.524134664321714	0	1.1885449085183	0.689854528088776	0.732083514793303	0.852929875456539	0.407116889592579	0	0	1.13839604035605	0	0	0	0.662605748280483	0.311632074444751	0	0	0.761393683866939	0	0.183008407904462	2.27431605188697	0	0	0.138803516427792	0	0	0.493177450943105	0.0946732682131988	0	0.369529539027167	0.636771366413824	0.452508468238537	0	0	0	0.124606016055173	0	0.54534911455949	0.255686778190714	0	0.514392415267425	0.148092937664489	0	0	2.42919352964798	0	0	0.162604741840039	0	0	0.377446060909122	0.272093870116532	1.32056101235129	0.777356520376994	0.307291436765491	0.37213101620774	0	0.0988292412336864	0	1.74657533814788	0	0.694345511932174	0	0.148424065756741	0	0	0	0.0981718425929049	0.43604489827865	0
"BIK"	0	0	0.711586028457084	0	0	1.41327917136712	1.49832226810476	0.248164581645993	0.14296190700485	0	0.266388752144728	0.332497653583249	0	0.253020595464438	0.30168619004442	0	0	0.465607536372699	0	0.723646813131095	0	1.41327917136712	0.54465737215914	0	0.850984433840934	0.732210774695896	0	0	0	0	0	0	0.573432380656203	0	0	0.0901916293911565	0	0	1.86344545606491	0.23292277837669	0	0.558580698502714	0	0.330460225098353	0.287347278094399	0	0.452985824368398	0	1.39500371948437	0	0	0	0	0	0	0.422707275905888	0	0	0.361136549584569	0.135812989857796	0	0.493107323941021	0.202294834296663	0.188966526082796	0	0.419224193338218	0	0.741725196042777	0	0.912225812441537	0	0.141520055006376	0	0	0	0	0	0
"BNIP3"	0.427760022063572	0	0	0	0	0	5.75951968553517	0.125834333094622	0.139027689023113	0	0	0.526561514572431	0.267278750253952	0.246305912804366	0	0.484835779980239	0.804298942394127	0	0	0	0	0	0	0	0.604407156675615	0.279806860787811	0	0.321768292685014	0	0	0	0	0.306828794210208	0	0.32304388416951	0.524611011451318	0.204046469886176	0.182476452013396	0	0.117798564148659	0	0.177843518720358	0	0	0.279806860787811	0	0.23769987984614	0	0.481000208444673	0.137315489544466	0	1.87132444161612	0	0.768182453080028	0	0.15082541837597	0	0	1.0737566588031	0.468269981471828	0	0.611280633398503	0	0	0	0.258801899975126	0	0.724887095465023	0	0.651676139941917	0	0	0	0	0	0.0909133500504899	0.283699616291267	0
"BNIP3L"	0.358181345898069	0	0.265712655477249	0	0	5.78340179564193	0	0.333939713158912	0.801897659514043	2.49340699348313	0.567937000111272	0.0722843664853319	0	0.54202289326597	0.0860694038548964	0.724442674927235	0	0	0	0	0.959855201511422	0.525725899630472	0	0	0	0.837060588841233	0	0	0	0	0	0	0.255196638868452	0	1.01761638237292	0.140525067407134	0.168701461012624	0.150674870758801	1.62870231705062	0.50263160135793	0	0.0752710075036384	0	0.184057184622716	0.335866889522242	0.519118492956518	0	0	0.977677053962419	0.217932418353969	0	0	0	0.364067302384899	0.468624660531919	0.124304007936322	0	0	0	0	0	0	0.308843744342022	0.151817178416857	0	0	0	1.80209850795895	0	0.76495875688635	0	0.113333272717788	0	0	0	0.663748636003308	0.615704391394312	0
"BRMS1"	0	0	0	0	0.29784449142563	0.421808324042975	0	0.0806305337928027	0	0	0.16890848308452	0	0.715312096247353	0.304307486782559	0	0	0	0	0	0	0.448920267113619	0	0	0	0.21920357484407	0.344800984859901	0.257154108134588	0.211118110864045	1.69409432364651	0	0	0.556484803045885	0	0	0.211986865782759	0.109727723112638	0.252941912763631	0.117742848040727	5.27869000238763	0	0	0.732859466767226	0	0.0738943214469972	0	0	0	0.536952989444421	0	0	0	0	0	0.529523088521132	0.103145544541592	0.0492855775496408	0	0	0	0.0846893404779667	0	0.321432455684859	0.127230903463517	0.0605421426915908	0	0.114518731324168	0	0.753741161883561	0	0	1.08261299353827	0	0	0	0	0.317461733615431	0	0
"BTG1"	0.581330956109557	0	0	0	1.0324350763925	0	0	0.284976425886943	0	0	0.462086057955238	0.380262866441881	1.56114729353083	0.236877980256188	0.100527550725285	0.252687876643277	1.65350610090569	6.42186161956813	0	0	0	0	0.512932181836974	1.94285652284763	0.321211275633597	1.01845464823718	0.37466047824759	0.56460605785288	0	0	0	0.342835262911132	0	0	0.44448393535955	0	0.9059033864632	0	1.78920076606649	0.315729531646916	0	0.86184088843158	0	0.110857236483741	0.496001228934095	0.267067106471271	0.22857590603776	0	0.463923914785153	0	0	1.82714525079544	0	0.418968067351121	0.293097153738778	0	0	0	0.33886689927913	0.186279756688135	0	1.33179274688304	0.275212793604276	0.334034360790893	0	0.0878385303137765	0	2.31110777996699	0	0.629748301825975	0	0.82171085582416	0	0	0	0.169526812494696	0.392251968211019	0
"CCL14"	0	0	0.28641516173952	0	0.403126289850077	0	0	0.216134282632528	0.442317789422739	0	0	0.223279952035065	0.783970199260438	0.411567057342067	0	0	0	0	0	0	1.3445347760766	0	0	0	0.547325532805037	0.734832798317207	0.349713868756917	0	0	0	0	0.114651466870796	0	0	0	0.151984389677697	1.31135914077081	0	1.71022937025425	0.681203937563568	0	0.158752922776447	0	0	0	0.129689465266038	0	0	0.766991811550755	0	0	1.74731574035315	2.19916249002379	0	0	0.134501294537332	0	0	0	0.173121299273673	0	0	0.256309305142488	0	0	0.367769901819862	0	0.658812510299017	0	1.00902162922572	2.05071446607422	0	0	0	0	0	0.254208385500301	0
"CCND2"	0.273481761373966	0	0	0	0	0	0	0.0774002130647646	0.166527693172631	2.14730293472236	0	0	5.57811057563437	4.24891947348632	4.5818051542202	0	1.89059673763616	1.22784541817222	0	0.467307230067489	0	0	0	0	0	1.02536068881363	0	0.203014188995605	0	0	0	0	0.363595619127506	0	0.203851898503844	0	0.633429482798546	0.217942810389912	0.69588465330772	0.269989804760683	0	0.482004945459422	0	0.138530364886375	0.601919063611934	0.329534226885221	0	0.898945839639208	0.564234783075372	0	0	0	0	0	0	0	0	0	0	0.300869389123264	0	0.712056355570643	0	0.317957723204129	0	0.307595857634229	0	3.62250054103866	0	2.26252617161618	1.65248317985374	0.16486145539371	0	0	0	0	0.336665423907965	0
