"X1200014J11RIK"	"ABT1"	"ACTA1"	"ACTB"	"ADARB1"	"AKAP1"	"AKAP8"	"APC_1185.2842"	"APEX1"	"APOBEC3G"	"APP_ISOFORM1"	"ARGO2"	"ASCC1"	"ATP5A1"	"AURKB"	"BICD2"	"BMS1"	"BRIX1"	"BTF3"	"BZW1"	"CALM1"	"CALR"	"CANX"	"CASK"	"CCDC124"	"CCDC9"	"CCL14"	"CDC42"	"CELF1"	"CEP55"	"CGI.99"	"CHTOG"	"CIRBP"	"CLASP1"	"CLASP2"	"CLIP115"	"CNBP"	"CNN3"	"CPEB"	"CPEB4"	"CSNK1E"	"CSRP1"	"CSTF2T"	"CTBP1"	"CTCF"	"D10WSU52E"	"D19BWG1357E"	"D2WSU81E"	"DAPK1"	"DCAF13"	"DDX1"	"DDX17"	"DDX18"	"DDX21"	"DDX31"	"DDX39"	"DDX39A"	"DDX3X"	"DDX42"	"DDX47"	"DDX5"	"DDX52"	"DDX54"	"DDX6"	"DIMT1"	"DMRTB1"	"DNTTIP2"	"DOUBLECORTIN"	"DUSP14"	"DYNC1LI1"	"DYNC1LI2"	"DYNLL1"	"DYNLRB1"	"DYNLT1F"	"EB1"	"EB2"	"EB3"	"EBNA1BP2"	"EDF1"	"EEF2"	"EIF1A"	"EIF1B"	"EIF2S1"	"EIF3C"	"EIF3D"	"EIF3G"	"EIF3H"	"EIF4A1"	"EIF4A2"	"EIF4A3"	"EIF4B"	"EIF4H"	"EIF5"	"EIF5A"	"ELAC2"	"ELAVL2"	"ELAVL3"	"ENO1"	"ERAL1"	"ERH"	"EWSR1"	"EZH2"	"EZR"	"FAM103A1"	"FAM120A"	"FASTKD2"	"FAU"	"FBL"	"FBXW7"	"FHIT"	"FKBP3"	"FKBP4"	"FMRP"	"FUBP3"	"FUS"	"FXR1"	"FXR2"	"G3BP1"	"G3BP2"	"GAA"	"GAR1"	"GFP"	"GIMAP4"	"GLTSCR2"	"GNB2L1"	"GNL2"	"GNL3"	"GOT2"	"GRB2"	"GRIP1"	"GTF2F1"	"GTPBP4"	"HMGB1"	"HMGB2"	"HNRNPA1"	"HNRNPA2B1"	"HNRNPA3"	"HNRNPC"	"HNRNPF"	"HNRNPH1"	"HNRNPH2"	"HNRNPK"	"HNRNPR"	"HNRNPU"	"HNRPA0"	"HNRPDL"	"HNRPH3"	"HNRPLL"	"HSP90AA1"	"HSP90AB1"	"HSP90B1"	"HSPA1A"	"HSPA5"	"HSPA8"	"HSPD1"	"HTATSF1"	"HUD"	"HUR"	"IFIT5"	"IGF2BP1"	"IGF2BP2"	"IGF2BP3"	"ILF2"	"ILF3"	"IMP3"	"KAP3"	"KATANIN_P80_SUBUNIT_B1"	"KCNAB1"	"KHDRBS1"	"KHDRBS2"	"KHDRBS3"	"KIF11_350.1053"	"KIF12"	"KIF16B_350.1313"	"KIF17V2"	"KIF18A"	"KIF18B"	"KIF19A_350.998"	"KIF1BALPHA_350.1150"	"KIF1BBETA_1.332"	"KIF1BBETA_625.1770"	"KIF1C_350.1100"	"KIF20A_350.888"	"KIF21B"	"KIF22"	"KIF23_350.954"	"KIF24"	"KIF2A"	"KIF2C"	"KIF3A"	"KIF3B"	"KIF3C"	"KIF5.HC"	"KIF5.LC"	"KIF6"	"KIF7"	"KIF9V2"	"KIFC1"	"KIFC2_1.442"	"KIFC3_1.474"	"KLC2"	"KLC4"	"KRR1"	"KRT31"	"KRT81"	"LAM"	"LARGET"	"LARP1"	"LARP4"	"LARP4B"	"LARP7"	"LBR"	"LIN28A"	"LIN7"	"LSM1"	"LSM3"	"LSM4"	"LSM6"	"LYAR"	"MAP1S"	"MAP2"	"MAP4"	"MAP7"	"MAPT"	"MATAXIN10"	"MBNL1"	"MBP"	"METTL16"	"MKI67IP"	"MKRN1"	"MOV10"	"MREG"	"MRPL11"	"MRPL13"	"MRPL2"	"MRPL41"	"MRPS21"	"MRPS23"	"MRPS31"	"MRPS5"	"MSI2"	"MTDH"	"MTG1"	"MTPAP"	"MYOSINVA854.1853"	"MYOSINVA_1.853"	"NAA38"	"NAT10"	"NCL"	"NDEL1"	"NGDN"	"NHP2L1"	"NIP7"	"NOL10"	"NOLC1"	"NONO"	"NOP16"	"NOP2"	"NOP56"	"NOP58"	"NOSIP"	"NOVA1"	"NPM1"	"NPM3"	"NSA2"	"NSUN2"	"NUDT16"	"NUDT21"	"NUFIP2"	"NXF1"	"OBFC2B"	"OSTEOSARCOMA_9"	"P53"	"PABP1"	"PABPC5"	"PANK1"	"PARD3B"	"PARD6G"	"PCBP1"	"PCBP2"	"PCGF5"	"PEBP1"	"PEF1"	"PES1"	"PFN1"	"PIF1"	"PNISR"	"POLDIP3"	"POLRMT"	"PPAN"	"PPIA"	"PPIB"	"PPIG"	"PPIL4"	"PRDX1"	"PRKCI"	"PRPF31"	"PSPC1"	"PTBP1"	"PTBP2"	"PTCD1"	"PTCD2"	"PTCD3"	"PUF60"	"PUM2"	"PURA"	"PURB"	"PUS7"	"PWP2"	"QKI"	"RAB2A"	"RAB2B"	"RAB4A"	"RAB5C"	"RAB6"	"RAD21"	"RALY"	"RALYL"	"RAN"	"RBBP4"	"RBBP7"	"RBFOX2"	"RBM10"	"RBM12"	"RBM14"	"RBM15"	"RBM19"	"RBM22"	"RBM26"	"RBM28"	"RBM3"	"RBM34"	"RBM38"	"RBM4"	"RBM47"	"RBM6"	"RBM7"	"RBM9"	"RBMS1"	"RBMS2"	"RBMS3"	"RBPMS"	"RDBP"	"REEP2"	"RHOA"	"RING1"	"RNF20"	"RNMT"	"RNPS1"	"RPL14"	"RPL18A"	"RPL22"	"RPL24"	"RPL27"	"RPL36"	"RPL7A"	"RPL8"	"RPS14"	"RPS15"	"RPS19BP1"	"RPS24"	"RPS3"	"RPS4X"	"RPS5"	"RPS8"	"RRP1"	"RRP36"	"RRS1"	"RSL1D1"	"RYBP"	"S100A16"	"SAFB2"	"SAP18"	"SARNP"	"SERBP1"	"SERPINA3"	"SERPINB5"	"SF1"	"SF3A1"	"SF3A3"	"SF3B4"	"SFPQ"	"SLAIN2"	"SLC25A5"	"SMARCB1"	"SMARCC2"	"SMCHD1"	"SNRNP70"	"SNRPA1"	"SRFBP1"	"SRP14"	"SRP54"	"SRSF1"	"SRSF10"	"SRSF11"	"SRSF2"	"SRSF3"	"SRSF5"	"SRSF6"	"SRSF7"	"SRSF9"	"SSBP1"	"STAU1"	"STAU2_LONG"	"STRAP"	"SUB1"	"SUGP2"	"SUMO1"	"SUN2"	"SUPT5H"	"SURF6"	"SYF2"	"SYNAPTOTAGMIN_IV"	"SYNCRIP"	"TAF15"	"TARBP2"	"TARDBP"	"TB.RBP"	"TBRG1"	"TBRG4"	"THRAP3"	"TIA.1"	"TIAL1"	"TOPBP1"	"TPT1"	"TRA2A"	"TRA2B"	"TRMT1"	"TRNAU1AP"	"TSNAX"	"TUBA1A"	"TUBB"	"TUBG1"	"TXN1"	"U2AF1"	"U2AF2"	"UBA1"	"UBE2I"	"UBE2L3"	"UNKL"	"UTP15"	"UTP18"	"UTP3"	"WTAP"	"XPO5"	"XRN2"	"YARS"	"YTHDC1"	"YTHDF2"	"YWHAE"	"YWHAG"	"YWHAH"	"YWHAZ"	"ZADH2"	"ZC3H10"	"ZC3H11A"	"ZC3H14"	"ZC3H18"	"ZCCHC17"	"ZFP36L1"	"ZRANB2"
"1200014J11RIK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABT1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00601156299437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42083448603157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94083395674099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9893384500357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5332906366757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.40750801800727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADARB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33043230141166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4239923719742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AKAP1"	0	0	0	0	0	0	0	4.48553747179712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79908152249158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77877059552719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7382802698835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AKAP8"	0	0	0	0	0	0	0	0	0.745258987659798	1.76417573870005	0	1.19755746695052	1.76417573870005	1.24815721869414	0	0	0	0	0	0.67536866060187	0	1.07636974963263	4.04632735820109	0	0	1.37732691890082	0	0	0	4.47628853059972	4.31842038269998	0	0	0	0	0	0	5.2864822296284	0	0	1.79469824250661	0	6.99733782354862	0	0	0	2.15953515791107	1.27335923604742	0	0	0.965775381488389	7.40520221778279	2.15953515791107	0	0	0	0	5.38355149622885	0	0	1.62115297132677	0	0	0	0	2.34328212410416	0	0	0	0	1.79469824250661	0	4.60188591437949	4.81576594765004	0	0	0	0	0	2.81483380717079	0	0	0	1.11380675409748	0	0	0	4.81576594765004	0	2.93590085153359	0	0	0	0	0	0	0	0	0	0	0	1.13645349389624	0	3.56869948204641	0	1.07636974963263	0	1.48078958787224	0	4.04632735820109	0	0	0	0	0	0	0	0	3.19363230703164	0	0	2.60719945847311	0	0	0	2.32890959204216	1.14226729797865	0	0	3.01545966776654	0	0	0	0	0	0	0	0	0	0	5.78992321387222	0	0	0	0	0	0	0	0	0.778069524322067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67918221840079	0	0	0	4.81576594765004	0	0	0	0	0	0	0	0	0	0	0	4.25619139899428	0	0	0	0	0	3.40424849466069	1.62738123953354	0	0	1.59078275866792	0	0	1.31918470599062	0	4.00590224230912	0	0	0	0	7.35739641316889	6.9081218931971	0.920715393437568	6.36616756582564	1.60277940233846	3.01545966776654	0	0	4.34457446874475	0.999921729098464	0	0	0	0	3.13110585475596	0	2.86166769647334	3.43014324953985	0	0	1.66589186033375	0	0	0	0	0	0	0	1.92980610434181	0	0	0	0	3.51697127456142	0	0	0	0	5.96742447801509	0	4.60188591437949	0	0	0	0	0	0	1.61497704879102	0	0	0	0	0	0	0	0	0	0	0	0	1.54470248500883	0	0	0	0	1.23767748319837	1.24815721869414	4.77765980729694	4.71988459225085	0	3.48367322484884	0	0	0	0	1.92371303348492	0	0	0	0	1.10283465274373	0	7.35739641316889	0	0	0.937819670247062	0	1.45093641152503	0	0	3.37389868132807	1.41309838813941	0	1.29584009929162	0	0	0	4.1125526360668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.982540599633852	6.77682615451265	0	0	9.48808551470935	0	0.822758287557495	3.40424849466069	0	0	0	3.43539012723527	0	1.20405211815095	0	0	3.15748864033795	0	0	0	0	0	0	0	0	1.30352309089777	0	0	0	2.04763444925643	0	0	0	0	0	0	1.45582107618159	0	0	0	1.25169246507706	0	0	0	2.34328212410416	0	0	0	0	2.66713324946536	0	0	0	0	0	0	0	6.36616756582564	0	6.47849880800693	0	2.86166769647334	1.76417573870005	0	1.28324736912339	0	0	0	1.50144523651303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32977990846725	0	4.81576594765004	2.4999447306024	0	0	2.60719945847311	2.36278354451999	0	0	0	0	0	0	0	0.656184446039847	0	0	0	0	0	0	0	0	3.92337504141413	4.38557811159667	6.88439691291582	0	0	0	0	1.9801947949012	0	2.20012705811581	4.74060648265341	0	0	0	0	0	3.62706107287327	0	1.19113641565716	0	0	0	0	0	2.91059693412628	0	6.48029884119857	0	0	1.19113641565716	1.16616255285932	0	0	0
"APC_1185-2842"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31908341712884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21106083398688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29972771210869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18870048384992	0	0	0	0	4.06130903364425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81545530107057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"APEX1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5789044478446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74259600074103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05451598595913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOBEC3G"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02628948416979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05351912727797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71607431127043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71409046261125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
