"ADAR2_RBM1_PROTEIN"	"ADAR2_RBM2_PROTEIN"	"CUGBP1_RRM12_PROTEIN"	"ELAVL1_RRM_PROTEIN"	"FFH_PROTEIN"	"GFP_PROTEIN"	"GTASE_ERA_PROTEIN"	"IRP_PROTEIN"	"MBP_PROTEIN"	"NAB3_PROTEIN"	"NCL_PROTEIN"	"NOVA1_KH12_PROTEIN"	"NOVA2_KH3_PROTEIN"	"PHI21_N_PROTEIN"	"RNT1_PROTEIN"	"RPL11_PROTEIN"	"RPL7AE_PROTEIN"	"RPS8_PROTEIN"	"SELB_PROTEIN"
"adar2_rbm1_RNA"	3.43781615883192	5.16303336551413	0	0	0.259711033161138	0.0890245779368197	0	0.03435245136404	0	0	0	0	0	0.0440751692322912	0	0	0	0.0416837178526273	1.22117329797967
"adar2_rbm1_c126a_RNA"	0.218763538146205	2.58744056640949	0	0	0	0	0	0	0	0	0	0	0	0.0384703899755994	0	0	0	0.140316777558454	0
"adar2_rbm1_c126t_RNA"	3.63192745239926	5.20457270273283	0	0	0	0	0	0	1.74146810924641	0	0.618910391455969	0	0	0.101402140936255	0	0	0	0.0487993517576069	1.74146810924641
"adar2_rbm2_RNA"	1.42149237024283	3.39900576797288	0	0	0	0	0	0.0353870403718637	0	0	0	0	0	0	0	3.20659891376907	0	0.0429358357094356	0
"cugbp1_rrm12_rna"	0.781283580952357	3.77672478845095	0	0	0	0	0	0	0	0	0	0	0	0	0.507193886414882	0	0	0	0
"elavl1_rrm_rna"	0.0740639918692391	0.702095751575119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0694201503864207	0
"ffh_RNA"	0.947698769723068	3.62859090552974	0	0	4.48188355770683	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gtase_era_rna"	0.723850726368745	1.74581763603593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ire_rna"	1.31386678038813	1.45251322130437	0	0	0.196857533556661	0	0	1.19283923027704	0	0	0	0	0	0	0	3.6828113013049	0	0.0613715853550458	1.57225251219679
"nab3_rna"	0.40685468867824	2.04909576437158	0	0	0	0.0774672772267498	0	0	0	0.114257301231777	0	0	0	0	0	2.98606220878308	0	0	0
"ncl_rna"	1.16046555746817	1.92600059892266	0	0	0	0.083738971884618	0	0	0	0.12338254681073	4.91374581543081	0	0	0	0	0	0	0.0391706401894238	0.700440334266552
"nova1_kh12_rna"	0.240635266976876	1.51168593363321	0	0	0	0	0	0.0656298600942394	0	0	0	0	0	0	0	0	0	0.0794548119679666	0
"nova2_kh3_RNA"	0.780601765018943	2.97533934399835	0	0	0	0	0	0.0962939385338832	0	0	0	0	5.06676288652935	0	0	0	0	0.0593333821897597	0
"phi21_N_RNA"	0.568629430926415	2.7979217420342	0	0	0	0	0	0	0	0	0	0	0	0	0.437234025202826	0	0	0.129856757031066	0
"rnt1_RNA"	3.01057064485684	5.48266549097487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpl11_rna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpll7ae_rna"	0.774519825026043	1.49163894550452	1.84345704592386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rps8_rna"	0.846188108964023	1.68669349199137	0	0	0	0.102561352315527	0	0	0	0	0	0	0.980628437176624	0.147602646899405	0	0	0	4.76531363243487	0
"selb_rna"	0.833240404317131	2.28266993714259	0	0	0.417456502575536	0	0	0.0389018733814805	0	0	0	0	0	0	0	0	0	0.0928818583342933	5.43569279865944
