# This file contains 'Interaction Scores' generated by rec-YnH score function
DB(Read 1) \ AD(Read 2)	"ADAR2_RBM1_PROTEIN"	"ADAR2_RBM2_PROTEIN"	"CUGBP1_RRM12_PROTEIN"	"ELAVL1_RRM_PROTEIN"	"FFH_PROTEIN"	"GFP_PROTEIN"	"GTASE_ERA_PROTEIN"	"IRP_PROTEIN"	"MBP_PROTEIN"	"NAB3_PROTEIN"	"NCL_PROTEIN"	"NOVA1_KH12_PROTEIN"	"NOVA2_KH3_PROTEIN"	"PHI21_N_PROTEIN"	"RNT1_PROTEIN"	"RPL11_PROTEIN"	"RPL7AE_PROTEIN"	"RPS8_PROTEIN"	"SELB_PROTEIN"
"adar2_rbm1_RNA"	3.465172	5.192309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"adar2_rbm1_c126a_RNA"	0.000000	2.612582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.143134	0.000000
"adar2_rbm1_c126t_RNA"	3.659630	5.233872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"adar2_rbm2_RNA"	1.440434	3.426286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"cugbp1_rrm12_rna"	0.793950	3.804657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"elavl1_rrm_rna"	0.000000	0.713771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"ffh_RNA"	0.962275	3.656288	0.000000	0.000000	4.510657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"gtase_era_rna"	0.735804	1.767014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"ire_rna"	1.331939	1.471693	0.000000	0.000000	0.000000	0.000000	0.000000	1.209854	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"nab3_rna"	0.414312	2.071986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"ncl_rna"	1.177182	1.948246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.942865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"nova1_kh12_rna"	0.000000	1.531306	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"nova2_kh3_RNA"	0.793260	3.001653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.095981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"phi21_N_RNA"	0.578506	2.823739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.132473	0.000000
"rnt1_RNA"	3.036976	5.512107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"rpl11_rna"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"rpll7ae_rna"	0.787104	1.511112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"rps8_rna"	0.859626	1.707516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.794325	0.000000
"selb_rna"	0.846527	2.306641	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.465112
