"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"ADRM1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427701165841114	0	0	0	0	0	0	0.507428078589413	0	0	0	0.366454039139319	0	0	0	0	0	0
"AP2B1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283135648014896	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161502928433663	0	0	0	0	0	0	0	0	0	0	0	1.86801896105588	0	0	0	0	0	0	0	0	0	0	0	0.226400574629353	0	0	0	0	0	0	0	0
"ARL2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217397920350396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCL2L2"	0	0	0	0	4.94420956789259	4.43418070995055	0.217018001799597	0	0	0	0.254118913089447	0	0	0	0	0	0	0.0300955832444714	0	0	0	0	0	0	0	0	0	0	0.0128333779313579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208383940575692	0	0	0	0	0	0	0	0.0320233239981029	0	0	0	0	0	0	0.951728236948085	0	0	0	0	0	0	0	0	0	0
"BIK"	0	0	0	0.28445304641185	0	0.160836454709668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158276547352512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.525273600076877	0	0	0	0	0	0	0	0	0	0.246157527396984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BNIP3"	0	0	0	0	0	0	2.52197338526012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285534350822906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BNIP3L"	0	0	0	0	0	4.02134334077208	0	0	0	0.125992260556638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133087613822653	0	0	0	0.335790509003662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997335117632465	0	0	0	0	0	0	0	0	0	0
"BRMS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76381283597351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BTG1"	0	0	0	0.0426150887386227	0	0	0	0	0	0	0	0	0.711336475983773	0	0	0	0.208415302616728	5.17387538261133	0	0	0	0	0	0.264826537199247	0	0.143210703831144	0	0	0	0	0	0	0	0	0	0	0	0	0.460092880624423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596472897242751	0	0	0	0	0	1.57564486784723	0	0	0	0	0	0	0	0	0	0
"CCL14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999176960477116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524983071433159	0	0.407878705144769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1214293697461	0	0	0	0	0	0	0
"CCND2"	0	0	0	0	0	0	0	0	0	0.0244444276979176	0	0	4.94144674581215	3.65643885055881	4.58175659391331	0	0.360687330947499	0.101262008873853	0	0	0	0	0	0	0	0.100233538697883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97803244541124	0	1.29117217098753	0	0	0	0	0	0	0	0
"CCND3"	0	0	0	0	0	0	0	0.574501727843616	0	0	0	0	5.0379115655463	4.95907178382883	4.54152063516646	0	0	0	0	0	0	0.921043252523085	0	0	0	3.15814164436113	0	0	0	0	0	0	1.25223826949273	0	0	0	0	0	0	0	0	0.383516322561995	0	0	0	0.12812000960374	0	0	2.22422657936552	0	0	0	0	0	0	0	0	0	0	0	0.0209631657069608	2.25040285395998	0	0	0	0	0	2.81807033374162	0.414184562219955	2.14395539055179	0	0	0	0	0	0	0	0
"CDK4"	0	0	0	0	0	0	0	0	0	0	4.59489841879566	5.12467055329576	0	0	0	0	0	0	0	0	0	0.753863566460112	0	0	0	1.53546058502853	0	0	0	0	0	0	0	0	0	0	0	0	0.0394820261159093	0	0	0	0	0	0	0	0	0	0.448117936885043	0	0	0	0.367628427794464	0.147554491725801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK6"	0	0	0	0	0	0	0	0	0	0	3.30274729782613	5.16556312803174	0	0	0	0	0	0	0	0.105612084693295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221463178606126	0	0	0	0.157184252934987	0	0	0	0	0.399027507808546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542102392250627	0
"CDKN1A"	0	0	0	0	0	0	0	0	0	0	5.47038892274334	4.65718577535985	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23643343067716	0	0	0	0	0	0	0	0	0	0	0	0	0.028371948322988	0	0.347020639050205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.50237101874404	0	0.267755154563025	0	0	0	0	0	0	0	0
"CDKN2D"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2573120329047	0	0	0	3.85758014750474	0	0	0	0	0.146202265354982	0	2.49512006894139	0	0	0	0	0	0.629244286760849	0	0	0.354717910242968	0	0	0	0	0	0	2.91158018217135	0	0	0	0	0	0	0	0	0	0	0	0.115567708070097	2.14149054362721	0	0	0	0	0	2.42618840072628	0	2.80073631616928	0	0	0	0	0	0	0	0
"CEP55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152559998700409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37268044123135	0	0	0	0	0	0	2.21078348632247	0	6.19537139739957	0.654866354534233	0	0	0	0	0	0	0
"CNOT7"	0	0	1.23137610842669	0	0.141184846824872	0.0317877686371025	0	4.00788434544857	3.12287434378576	0.183196846512195	0.560909382196507	1.5272212471865	4.28858300886726	1.31117040065613	1.11975445281467	2.23387328512008	2.29666732464054	0	0	0.319853868579091	0	0.301296689634107	2.86957475346381	0.745423495653597	1.7370431123394	5.98087566738848	0	0	0.443295449001895	0	0.510445532164367	2.32741828078533	4.89697255602779	0	0.841589488558614	4.59871840074355	4.50848609191968	0	3.78068848863892	0.547286570923476	0	5.61452784105194	0	0	5.05712785634897	3.98968011089544	0.390130545626521	0	0.043732748948965	3.61795196552602	0	0	0	0.372104835191518	2.36813006992244	3.21391833866674	0	0	0	0.0209744721197811	1.57634785861474	5.10256310286932	2.80281053618583	2.23807175814823	0	0	0.0215950689342536	5.23624445055236	0.0552513459317314	4.95702228085898	0	0.130161985284233	0	0	0	2.70560753904642	0.625096149390082	0
"CTBP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DAPK1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275740439790691	0	0	0.0337479425053722	0	0	0	0	0	0	0	0	0.163736860655651	0	0	0	0	0	0.231030150394172	0	0	0	0	0	0	0.196754897133352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDX39A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.883648812796106	0	0	0	0	0	0	0	0.974070347082116	0	0	1.47559461520731	0	0	0	0	0	0	0
"DMRTB1"	0.329952616215684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2291932633042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1969442674209	0	0	2.94375600375522	3.1487979980895	0	0	0	0	0	0.0730807046684653	0	0.47183520771248	0	0	0	0	0	0	0	0	0.0889164813459838	0	0	0	0	0	0	0	0
"EIF4EBP2"	0	0	0	0	0	0	0	0	0	0	0	0	2.28224834102805	0	0	0	0	0	0	0	0	0.164885779173559	0	0	0	4.86571779558338	0	0	0	0	0	0	4.461788330792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20001890624379	0	0	0	0	0	0	0	0	0	0
"EXOSC1"	0	0	0	0	0	0	0	0	0	0	0	0	0.832455192523737	0	0	0	0	0	0	0	0	2.47052371979905	0.249648934744567	0	4.73087862292513	4.83353618762577	0	0	0	0	0	0	0.828172015158615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0220893062796722	1.37640139116878	0	0	0	0	0	0	0	0.569760413549418	0.322253862110071	0	0	0	0	0	1.66078481603628	0	0.427647983331917	0.26999617609215	0	0	0	0	0	0	0
"EXOSC5"	0	0	0	0	0	0	0	0	0	0	0	0	0.695586845369687	0	0	0	1.61406238764162	0	0	0	0.0129133044775586	2.30429101748087	0	3.0663957590465	0	4.83538460478446	0	0	0	0	0	0	1.14187595488956	0	0	0	0	0	1.56423554487707	0	0	0	0	0	0.335842294501665	0	0	0	0.0325859691953425	0	0	0	0.124494520185096	0	0	0	0	0	0	0	1.19538782735	4.19702860537988	0	0	0	0	0	3.98459559475718	0	0.323923296080973	0	0	0	0	0	0	0	0
"FHL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GAA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100187457527852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239144718132331	0	0	0	0	0	0.021580383007542	0	0	0	0.13086197718871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114387520983172	0	0	0	0	0	0	0	0	0	0
"IGF2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0742123928964672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119092675038013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IKZF1"	0	0	0	0	0	0	0.00429260073904536	0	0	0	0	0	0.0271246307875893	0	0	0	0.821781016276286	0	0	0	0.0728234419729842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284660644378991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3445447756474	0	0	0	0	0	0	0
"IKZF5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454345601704589	0	0	1.66844203535726	0	0	0	0	0	0	0	0	0	0	0	0.0122866715222175	1.12489659013144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149574899108535	0	0	1.84631484306491	0	0	0	0	0	0	0
"KLF3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763640924708019	0	0	0	0	0	0	3.23569092916525	0	0	0	0	0	0	0.525832199034327	0	0	0	0	0	0	0	0	0.336845955545464	0	0	0	0	0	0	0.328949818605253	0	0	0	1.14887873945096	0	0	0	0	0	0	0	0.754874651632507	0.0505776549187679	0	0	0	0	0.288674055333389	0.480222806321456	0	0	1.43061335756527	0	0	0	0	0	0	0
"LSM2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0807093032041982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LSM3"	0	0	0	0	0	0	0.0475980555616816	0	0	0	0	0	0.346903391727582	0	0	0	0	0	0	0	0	0	0	0	0	1.05015808172244	0	0	0	0	0	0.465491512090875	0	0	0	0	0	0	0.36770019199223	0	0	0	0	0	0	0	0	0.199827349173434	0.699309660599952	0	0	0.603276556518695	0.106297176168495	0	0	0	0.571948026046305	0	0	0	0	0	0	0	0.400635073313544	0	0	0.770095864914739	0	0	0	0	0	0	0	0	0	0
"MME"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915278044707585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250833654681588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515489741644778	0.524592568005305	0	0	0	0	0	0	0	0	0	0
"MORF4L1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0414872503057836	0	4.05395294096975	0	0	0	0	0	0	0.0361246358245269	0	0	0.370661513461021	2.77929728515918	0	0.95346127714132	0	0	0	0	0	0	0	0	0	0.760382168304214	0	0	0	0	0	0	0	0	0	0	0	0.340963228881936	4.67964915090437	0	0	0	0	0.687827662260656	5.61280678521524	0	0	0	0.112766118726424	0	0	0	0	0	0
"MRFAP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177474883309633	0	0	0	0	0	0	0	0	0	0.498295584983208	0	0	0	0	0.186927494072906	0	0	0	0	0	0	0.101797695395085	0.415603603933624	0	0	0	0	0	5.96940014432965	0	0	0	0	0	0	0	0	0	0
